업종소분류,한파_min,한파_Q1,한파_median,한파_Q3,한파_max,한파_mean,한파_lower_whisker,한파_upper_whisker,온화_min,온화_Q1,온화_median,온화_Q3,온화_max,온화_mean,온화_lower_whisker,온화_upper_whisker,폭염_min,폭염_Q1,폭염_median,폭염_Q3,폭염_max,폭염_mean,폭염_lower_whisker,폭염_upper_whisker
동물병원,64408,989906.0,1825282.0,3781750.0,49747358,3429708.8914868105,64408,7967871,95786,955263.0,1762465.0,3697892.0,53437173,3330455.667611623,95786,7806707,110004,978139.75,1761476.5,3824434.25,51179195,3251861.6922898283,110004,8063084
면세점,75233,3103670.0,6533985.0,18600829.0,184110789,16939998.058174524,75233,41722104,34839,3621089.0,7402353.0,19270847.5,283323946,16931214.64299611,34839,42667744,38127,3159646.25,7552138.0,18695529.5,112307398,15019898.724862888,38127,41731028
대형마트,16048,1477443.25,5342528.0,13677799.5,683409041,11369274.800752489,16048,31972792,16329,1459511.75,5521514.5,13538354.75,497727648,11278359.225957675,16329,31651441,17169,1718941.0,6409300.0,16247755.0,914100684,13254001.273842124,17169,38022175
"모텔,여관,기타숙박",16095,509894.0,992951.0,1953697.0,242624306,1925834.2804933072,16095,4113351,16096,497499.0,957861.0,1828880.0,172451136,1841183.88,16096,3820116,16096,530203.0,1022535.0,1934160.0,174705495,1747944.4155390658,16096,4033152
미용서비스,195509,1022269.0,2249589.0,5199618.0,54675547,4411676.561837456,195509,11064239,250382,1172987.0,2612686.0,6066209.0,31074636,4657905.588679246,250382,13136385,146076,1198106.0,2408327.0,5450949.75,48308010,4532320.404761905,146076,11787284
문화용품,8051,212323.0,431565.0,908564.0,77902817,1014733.3338317757,8051,1951014,8170,215002.0,448826.0,1013143.5,119464747,1307017.3467094703,8170,2205169,7425,221820.0,471232.0,1000290.5,141153096,1325271.3958556626,7425,2161569
보건소,8051,49916.0,73262.0,106122.5,553644,91366.04282115868,8051,189627,14231,50903.0,81646.0,114943.0,838539,106031.61087267526,14231,207926,8115,51884.75,81154.0,117340.0,690887,100887.26781609196,8115,214408
부동산중개,26825,156846.75,407528.0,848033.0,9634681,612296.9658703072,26825,1834858,16329,157850.0,419118.0,825495.75,4280272,595767.1819787986,16329,1817200,16231,135325.0,389664.0,927855.75,5177597,648428.6908127208,16231,2112698
백화점,47340,4575097.75,15156236.0,46504497.0,3176054033,59951884.95485399,47340,109261978,49261,4891221.0,16079483.0,48347098.0,3676069819,60717286.33357682,49261,113518181,51882,4719080.0,14630754.0,44963764.0,2650382229,54166512.8796694,51882,105231453
미용실,59340,539456.0,944048.0,1855728.0,97272508,1825025.0214428005,59340,3830136,43788,525455.0,919883.0,1774449.0,94052346,1750058.6641959532,43788,3646874,70333,541024.0,957612.0,1877352.0,116313887,1833980.6503819579,70333,3880763
